DATE,CUST_ID,DEVICE,P/C,製令編碼,vendor,Dut,PROCESS_ID,送修時間,STATUS,NEW針長,NOW針長,已用針長,送修時已使用TD,累積TD,總使用TD,PM TD,MTBF達成率,MTBF判定,送修原因,送修備註,維修成功率
2023/05/01,0,NA01690-AT_NDC1PA,JB1P3S11,A2101276,0,1,6,2023-05-02 00:47:51,定期PM,12,4,7,1,2668985,2764544,100000,95.6,PASS,定期PM,NA01690-AT_NDC1PA_CP2_定期PM,PASS
2023/05/01,0,NA01690-AT_NDC1PA,JB1P3S12,A2101372-R1,0,1,6,2023-05-01 13:09:32,內修(舊),12,6,6,0,3095520,3142391,100000,46.9,FAIL,Short,NC01690J(COG48AA)-A-AT-N5-C_CP2_Bin23,PASS
2023/05/01,4,FFE062(HSIF),JB1E7S14,A2201057-R1,0,1,2,2023-05-02 06:50:42,定期PM,11,5,7,8,4905699,5351921,500000,89.2,FAIL,定期PM,PM,PASS
2023/05/01,4,FFE062(4)-V1,VB4D7S01,A2200541,0,4,0,2023-05-01 20:27:08,外修(舊),12,10,2,0,1005008,1005197,500000,0.0,FAIL,Function,FFE062G-TQ2_CP1_Dut2 Bin15 Function,FAIL
2023/05/01,0,NA01761_NDCHPA,JB1PNS11,CB22010004H,3,1,2,2023-05-01 22:30:32,外修(舊),12,9,3,1,801575,864981,100000,63.4,FAIL,定期PM,"NA01761_NDCHPA_CP2_定期PM
",PASS
2023/05/01,3,F100A1,JB130S27,A2201183-R1,0,1,1,2023-05-02 05:42:35,定期PM,12,10,2,9,1247350,1718656,500000,94.3,PASS,定期PM,PM,PASS
2023/05/01,4,FFE062(HSIF),JB1E7S15,A2201058-R1,0,1,2,2023-05-01 18:46:40,內修(舊),12,4,8,2,5224580,5341652,500000,23.4,FAIL,"針位不良,Function,常溫測試",FFE062(HSIF)_CP3_針位不佳,PASS
2023/05/02,0,NA01682_NDCAPA,JB1GVS25,A2100858-R1,0,1,5,2023-05-03 02:03:44,內修(舊),11,6,6,0,1480792,1519648,100000,38.9,FAIL,共面不佳,NA01682_NDCAPA_CP2_共面不佳,PASS
2023/05/02,7,ILIWFE6AD,JB1XMS27,N5010-21120319-00,1,1,0,2023-05-03 03:19:00,定期PM,12,10,2,7,1106120,1464477,400000,89.6,FAIL,定期PM,ILIWFE6AD_CP1_PM,PASS
2023/05/02,0,NA01153A-A-AT-B_NDCAPA,TB1ZBS11,T511-2017110012CN-R1,4,1,5,2023-05-02 21:42:25,內修(舊),11,8,3,2,1688380,1798163,300000,36.6,FAIL,OPEN,NA01153E(COG2)-A-AT-C_CP2_固定PIN,PASS
2023/05/02,1,HX8298-A(CP1),TB1R7S33,A2300007-R2,0,1,1,2023-05-02 23:57:21,內修(舊),12,10,2,6,846064,1166840,500000,64.2,FAIL,共面不佳,PA5223Q_12U60H-LT_CP1_共面不佳,PASS
2023/05/02,1,HX83192-A-PC-SOURCE,JB1E2S19,N5110-21110296-00,1,1,8,2023-05-02 10:36:53,定期PM,12,8,4,9,1891720,2344190,500000,90.5,PASS,定期PM,IQA_PM,PASS
2023/05/02,1,HX8179-D00-0,JB856S02,N5010-21120030-R1,1,8,0,2023-05-02 07:38:16,內修(舊),11,7,4,3,287322,457937,500000,34.1,FAIL,OPEN,PA1738H-18E_CP1_Dut7 open,PASS
2023/05/02,4,FAF056(HSIF),JB1G8S08,A2000408,0,1,0,2023-05-03 05:22:19,定期PM,12,5,6,9,7882286,8354346,500000,94.4,PASS,定期PM,PM,PASS
2023/05/02,0,NA01248_NDC1PC,JB4R2S04,A1800265,0,4,15,2023-05-02 09:45:18,內修(舊),12,6,5,0,818011,834043,300000,5.3,FAIL,Short,已量測 L無變動,PASS
2023/05/02,2,SW83316,VB1B6S11,UOA3C01-2301622-R1,2,1,3,2023-05-03 00:52:55,外修(舊),11,10,1,0,1047667,1048922,500000,0.3,FAIL,Leakage,SW83316B_CP3_Bin4 LEAKAGE,FAIL
2023/05/02,0,NA01644-AT_NDCAPA,JB1EBS18,A2100398-R1,0,1,19,2023-05-03 02:47:55,外修(舊),12,11,1,0,935893,937291,300000,0.5,FAIL,OPEN,"NA01644-AT_NDCAPA_CP3_BIN2 OPEN
",FAIL
2023/05/02,3,F100A1,JB130S29,A2201185-R1,0,1,1,2023-05-02 14:06:58,內修(舊),12,8,4,6,2875672,3181394,500000,61.1,FAIL,OPEN,F100A1_CP4_BIN72 固定PIN,PASS
2023/05/02,6,VTOS6205-2DUT-E03,VB2CHC10,MPI2202047,0,2,1,2023-05-02 14:34:29,內修(舊),12,9,3,0,181783,214937,80000,41.4,FAIL,針位不良,重對MASK，點對點調整,PASS
2023/05/02,6,VTOS6205-2DUT-E03,VB2CHC15,MPI2300331,0,2,1,2023-05-02 14:39:14,內修(舊),12,11,0,0,73982,117092,80000,53.9,FAIL,針位不良,重對MASK，點對點調整,PASS
2023/05/02,1,HX83191-A(PC1),JB1YMS03,N5010-21010126-00,1,1,22,2023-05-03 02:22:02,內修(舊),11,6,6,4,2350141,2565049,500000,43.0,FAIL,共面不佳,HX83191-A(PC1)_CP1_共面不佳,PASS
2023/05/03,4,FFE062(077),VB121S04,A2100310,0,1,3,2023-05-03 20:26:12,內修(舊),12,7,6,4,7770121,7996345,500000,45.2,FAIL,"常溫測試,OPEN",FFE062G-T2Q1_CP2_VB121S04-固定PIN不過,PASS
2023/05/03,1,HX8290A,JB1TAS16,N5010-21080062-00,1,1,4,2023-05-04 03:05:39,內修(舊),12,5,7,2,2108645,2256734,500000,29.6,FAIL,共面不佳,共面不佳,PASS
2023/05/03,4,FFE062,JB1L6S15,A2200428-R1,0,1,2,2023-05-03 20:09:39,內修(舊),12,9,3,1,4929603,5025134,500000,19.1,FAIL,"常溫測試,OPEN",FFE062G-T2Q1_CP2_JB1L6S15- 2R BIN3過多,PASS
2023/05/03,0,NC01690_NDCHPD,JB6H1S06,A2101901-R1,0,6,0,2023-05-03 23:39:29,內修(舊),12,6,6,0,807194,807515,100000,0.3,FAIL,針位不良,NC01690F(COG46BA)-A-AT-C_CP4_針位不佳,FAIL
2023/05/03,2,SW83316,VBCB6S01,UOA4C12-2203704,2,5,0,2023-05-03 23:53:40,定期PM,11,9,2,9,984433,1437057,500000,90.5,PASS,定期PM,SW83316B_CP1_PM,PASS
2023/05/03,12,PJ7019AAC201N1S1,JB1Z0S02,N5010-19030007-L00,1,1,2,2023-05-04 00:27:53,內修(舊),12,5,7,5,5061437,5322148,500000,52.1,FAIL,共面不佳,IQA_共面不佳,PASS
2023/05/03,4,FFE062(077),VB121S02,A2100239,0,1,3,2023-05-03 21:46:35,內修(舊),12,6,6,8,7951154,8355252,500000,80.8,FAIL,"針位不良,高溫測試",FFE062G-T2Q1_CP2_針位不佳,PASS
2023/05/03,1,HX83192-A-PC-SOURCE,JB1E2S26,A2200263,0,1,8,2023-05-04 03:50:59,內修(舊),11,10,1,1,142017,235022,500000,18.6,FAIL,"Function,高溫測試",PA5478D_12U-LTB3_CP3_Bin43 Function,PASS
2023/05/03,1,HX8298-A,TB1R8S85,A2101921-R1,0,1,4,2023-05-04 04:01:35,內修(舊),12,9,3,1,1317391,1370949,200000,26.8,FAIL,針位不良,PA5137F-LT1_CP4_針位不佳,PASS
2023/05/03,0,NA02080A_COP_N4CAPA,JB131S12,A2100329,0,1,4,2023-05-04 04:26:39,內修(舊),12,4,7,3,2904055,3094034,300000,63.3,FAIL,針位不良,NB02080C(COG48AA)-E-Y2-C_CP3_針位不佳,PASS
2023/05/03,0,NA02043_DXC1PE,TL8ACS03,A2001024,0,8,0,2023-05-03 14:32:39,內修(舊),12,8,4,0,1478934,1510515,300000,10.5,FAIL,Function,NA02043P(COG48AA)-E-X6-C_CP1_DUT5_Bin34,PASS
2023/05/03,1,HX83121-A-SOURCE(CP2),VB138S06,N5010-21040008-00,1,1,2,2023-05-03 14:54:04,內修(舊),12,8,4,6,1720489,2035545,500000,63.0,FAIL,針位不良,PA5493C4_CP3_針位不佳 Range:4um,PASS
2023/05/03,0,NB01657_NDCAPE,JB8KZS14,A2000760,0,8,0,2023-05-03 15:24:58,內修(舊),11,11,1,1,166443,235402,300000,23.0,FAIL,Function,ND01657B(COF94AA)-A-C_CP1_DUT4 BIN25 FUNCTION,PASS
2023/05/03,1,HX83108-A-PC,VB2ATS05,N5010-23030102-00,1,2,7,2023-05-03 11:57:45,內修(舊),11,11,0,6,0,348857,500000,69.8,FAIL,"高溫測試,OPEN",PA5494B_DY2_CP1_DUT2 OPEN,PASS
2023/05/03,0,NA01690-AT_NDC1PA,JB1P3S20,A2201094-R1,0,1,6,2023-05-03 07:30:37,定期PM,12,10,2,1,1138578,1216432,100000,77.9,FAIL,定期PM,IQA_PM,PASS
2023/05/03,7,ILIWFE6AD,JB1XMS26,N5110-21120058-R1,1,1,0,2023-05-03 07:50:16,定期PM,12,10,2,7,641413,1003458,400000,90.5,PASS,定期PM,IQA_PM,PASS
2023/05/03,1,HX83112-F-PC1(HSIF),JB1E9S10,A2000094,0,1,1,2023-05-03 08:27:48,定期PM,10,5,5,9,2989250,3443011,500000,90.8,PASS,定期PM,IQA_PM,PASS
2023/05/03,2,SW83316,VB1B6S12,UOA3C01-2303601-R1,2,1,3,2023-05-03 09:35:57,定期PM,12,12,0,9,74805,536455,500000,92.3,PASS,定期PM,IQA_PM,PASS
2023/05/03,3,F100A1,JB130S31,A2201236-R1,0,1,1,2023-05-03 09:32:27,內修(舊),11,7,4,2,2314929,2450444,500000,27.1,FAIL,"常溫測試,OPEN",RF100B3.C3_CP2_BIN32 O/S,PASS
2023/05/03,4,FFE062,JB1L6S13,A2101878-R1,0,1,2,2023-05-03 19:41:08,內修(舊),12,7,5,8,5277401,5712141,500000,87.0,FAIL,"針位不良,常溫測試",FFE062G-T2Q1_CP2_JB1L6S13-針位不佳,PASS
2023/05/04,1,HX82103-A,VB1BVS02,A2101920,0,1,0,2023-05-04 14:00:40,內修(舊),11,10,2,1,210928,285635,500000,14.9,FAIL,"共面不佳,低溫測試",PA5270D-LT_CP2_共面不佳,PASS
2023/05/04,0,NA01682_NDCAPA,JB1GVS22,A2100478-R1,0,1,5,2023-05-04 21:23:37,內修(舊),12,6,6,0,1672069,1714105,100000,42.0,FAIL,共面不佳,IQA_共面不佳,PASS
