,PROCESS_ID,DATET_STOP
22353,CP1,2022-01-01 09
22354,CP1,2022-01-01 10
22355,CP1,2022-01-01 11
22356,CP1,2022-01-01 12
22357,CP1,2022-01-01 13
22358,CP1,2022-01-01 14
22359,CP1,2022-01-01 15
22360,CP1,2022-01-01 16
22361,CP1,2022-01-01 17
22362,CP1,2022-01-01 18
22363,CP1,2022-01-01 21
22364,CP1,2022-01-01 22
22365,CP1,2022-01-01 23
22366,CP1,2022-01-02 00
22367,CP1,2022-01-02 01
22368,CP1,2022-01-02 02
22369,CP1,2022-01-02 03
22370,CP1,2022-01-02 04
22371,CP1,2022-01-02 06
22372,CP1,2022-01-02 07
22373,CP1,2022-01-02 08
22374,CP1,2022-01-02 09
22375,CP1,2022-01-02 10
22376,CP1,2022-01-02 11
22377,CP1,2022-01-02 12
22378,CP1,2022-01-02 13
22379,CP1,2022-01-02 14
22380,CP1,2022-01-02 15
22381,CP1,2022-01-02 16
22382,CP1,2022-01-02 17
22383,CP1,2022-01-02 18
22384,CP1,2022-01-02 19
22385,CP1,2022-01-02 20
22386,CP1,2022-01-02 21
22387,CP1,2022-01-02 22
22388,CP1,2022-01-02 23
22389,CP1,2022-01-03 00
22390,CP1,2022-01-03 01
22391,CP1,2022-01-03 02
22392,CP1,2022-01-03 03
22393,CP1,2022-01-03 04
22394,CP1,2022-01-03 05
22395,CP1,2022-01-03 06
22396,CP1,2022-01-03 07
22397,CP1,2022-01-03 09
23044,CP4,2022-01-14 16
23045,CP4,2022-01-14 18
23046,CP4,2022-01-14 21
23047,CP4,2022-01-15 11
23048,CP4,2022-01-15 13
23049,CP4,2022-01-15 15
23050,CP4,2022-01-15 17
23051,CP4,2022-01-15 19
23052,CP4,2022-01-15 21
23053,CP4,2022-01-16 00
23054,CP4,2022-01-16 02
23055,CP4,2022-01-16 04
23056,CP4,2022-01-16 06
23057,CP4,2022-01-16 10
23058,CP4,2022-01-16 13
23059,CP4,2022-01-16 23
23060,CP4,2022-01-17 01
23061,CP4,2022-01-17 03
23062,CP4,2022-01-17 07
23063,CP4,2022-01-17 09
23064,CP4,2022-01-17 12
23065,CP4,2022-01-17 15
23066,CP4,2022-01-17 19
23067,CP4,2022-01-17 22
23068,CP4,2022-01-18 00
23069,CP4,2022-01-18 03
